FUNCTION_INDEX

component/api-output.py:18 | FunctionDef | _iso_now
component/api-output.py:22 | FunctionDef | _safe_dict
component/api-output.py:26 | FunctionDef | _safe_list
component/api-output.py:30 | FunctionDef | _read_json
component/api-output.py:42 | FunctionDef | _write_json
component/api-output.py:51 | FunctionDef | _load_fusion_payload
component/api-output.py:59 | FunctionDef | _load_template_payload
component/api-output.py:63 | FunctionDef | _materialize_raw
component/api-output.py:71 | FunctionDef | _same_filename
component/api-output.py:78 | FunctionDef | _row_belongs_to_doc
component/api-output.py:90 | FunctionDef | _filter_rows_for_doc
component/api-output.py:96 | FunctionDef | _pick_dynamic_template
component/api-output.py:110 | FunctionDef | _merge_template
component/api-output.py:150 | FunctionDef | _callback_headers
component/api-output.py:161 | FunctionDef | _deliver_callback
component/api-output.py:206 | FunctionDef | _stored_input_files
component/api-output.py:219 | FunctionDef | _normalize_for_api
component/api-output.py:261 | FunctionDef | _component_trace_context_values
component/api-output.py:269 | FunctionDef | _extract_doc_value_from_any
component/api-output.py:288 | FunctionDef | _overlay_component_traces
component/atrribution-gramatical/atripusion-gramatical-en-utilisant-les3ficherla.py:30 | FunctionDef | _is_punct_like_token
component/atrribution-gramatical/atripusion-gramatical-en-utilisant-les3ficherla.py:47 | FunctionDef | _normalize_token_fields
component/atrribution-gramatical/atripusion-gramatical-en-utilisant-les3ficherla.py:60 | FunctionDef | detect_lang
component/atrribution-gramatical/atripusion-gramatical-en-utilisant-les3ficherla.py:97 | FunctionDef | get_previous_cell_input
component/atrribution-gramatical/atripusion-gramatical-en-utilisant-les3ficherla.py:108 | FunctionDef | iter_sentences_from_input
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:86 | FunctionDef | _zeros_vec
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:90 | FunctionDef | _zeros_matrix
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:94 | FunctionDef | _vector_norm
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:98 | FunctionDef | _normalize_vector
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:105 | FunctionDef | _average_vectors
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:117 | FunctionDef | _env_true
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:122 | FunctionDef | _is_offline_mode
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:132 | FunctionDef | _resolve_model_for_loading
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:177 | FunctionDef | _is_punct_like_token
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:195 | FunctionDef | _normalize_token_fields
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:209 | FunctionDef | _strip_accents
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:214 | FunctionDef | _norm_token
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:220 | FunctionDef | detect_lang
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:234 | FunctionDef | get_previous_cell_input
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:246 | FunctionDef | iter_sentences_from_input
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:327 | FunctionDef | _basic_tokenize
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:331 | FunctionDef | _normalize_lemma
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:342 | FunctionDef | _guess_pos
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:386 | FunctionDef | _cosine
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:399 | FunctionDef | _build_pos_prototypes
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:432 | FunctionDef | _refine_pos_tags
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:519 | FunctionDef | _hash_vec
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:529 | ClassDef | _XLMRContextEncoder
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:530 | FunctionDef | __init__
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:577 | FunctionDef | encode_token_lists
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:639 | FunctionDef | _heuristic_ner
component/atrribution-gramatical/attribution-gramatical-100ml-xlmr.py:657 | FunctionDef | _run
component/atrribution-gramatical/engcode.py:12 | FunctionDef | print_install_help
component/atrribution-gramatical/engcode.py:39 | FunctionDef | _ensure_nltk
component/atrribution-gramatical/engcode.py:88 | ClassDef | Tok
component/atrribution-gramatical/engcode.py:103 | FunctionDef | _is_punct
component/atrribution-gramatical/engcode.py:106 | FunctionDef | _is_number
component/atrribution-gramatical/engcode.py:149 | FunctionDef | _lower
component/atrribution-gramatical/engcode.py:152 | FunctionDef | _has_apostrophe
component/atrribution-gramatical/engcode.py:155 | FunctionDef | _norm_apos
component/atrribution-gramatical/engcode.py:177 | FunctionDef | _looks_like_word
component/atrribution-gramatical/engcode.py:180 | FunctionDef | _split_plural_possessive
component/atrribution-gramatical/engcode.py:192 | FunctionDef | split_contractions
component/atrribution-gramatical/engcode.py:265 | FunctionDef | tokenize_with_spans
component/atrribution-gramatical/engcode.py:290 | FunctionDef | guess_pos_heur
component/atrribution-gramatical/engcode.py:330 | FunctionDef | map_penn_to_simple
component/atrribution-gramatical/engcode.py:367 | FunctionDef | pos_tag_simple
component/atrribution-gramatical/engcode.py:387 | FunctionDef | looks_like_nounish
component/atrribution-gramatical/engcode.py:400 | FunctionDef | resolve_s_contractions
component/atrribution-gramatical/engcode.py:435 | FunctionDef | _penn_to_wordnet_simple
component/atrribution-gramatical/engcode.py:447 | FunctionDef | lemma_en
component/atrribution-gramatical/engcode.py:488 | FunctionDef | fix_buffalo_pos
component/atrribution-gramatical/engcode.py:504 | FunctionDef | date_spans
component/atrribution-gramatical/engcode.py:529 | FunctionDef | currency_spans
component/atrribution-gramatical/engcode.py:547 | FunctionDef | load_hf_ner
component/atrribution-gramatical/engcode.py:569 | FunctionDef | _norm_ner_label
component/atrribution-gramatical/engcode.py:578 | FunctionDef | hf_spans
component/atrribution-gramatical/engcode.py:599 | FunctionDef | apply_spans_to_tokens
component/atrribution-gramatical/engcode.py:610 | FunctionDef | enforce_bio
component/atrribution-gramatical/engcode.py:619 | FunctionDef | fix_buffalo_ner
component/atrribution-gramatical/engcode.py:659 | FunctionDef | _is_initial_chain
component/atrribution-gramatical/engcode.py:665 | FunctionDef | drop_false_pers
component/atrribution-gramatical/engcode.py:691 | FunctionDef | _join_entity_tokens
component/atrribution-gramatical/engcode.py:698 | FunctionDef | entities_from_bio
component/atrribution-gramatical/engcode.py:721 | FunctionDef | print_table
component/atrribution-gramatical/engcode.py:730 | FunctionDef | fallback_ner_labels
component/atrribution-gramatical/engcode.py:756 | FunctionDef | run_one
component/atrribution-gramatical/engcode.py:859 | FunctionDef | split_input_into_sentences
component/atrribution-gramatical/engcode.py:873 | FunctionDef | get_ner_pipe
component/atrribution-gramatical/engcode.py:890 | FunctionDef | run_one_auto
component/atrribution-gramatical/engcode.py:894 | FunctionDef | run_from_previous_cell
component/atrribution-gramatical/engcode.py:951 | FunctionDef | main
component/atrribution-gramatical/frcode.py:12 | FunctionDef | print_install_help
component/atrribution-gramatical/frcode.py:99 | ClassDef | Tok
component/atrribution-gramatical/frcode.py:104 | FunctionDef | _norm_apo
component/atrribution-gramatical/frcode.py:107 | FunctionDef | _has_letters
component/atrribution-gramatical/frcode.py:110 | FunctionDef | _is_punct
component/atrribution-gramatical/frcode.py:113 | FunctionDef | _is_dash
component/atrribution-gramatical/frcode.py:116 | FunctionDef | _is_number
component/atrribution-gramatical/frcode.py:119 | FunctionDef | _is_acronym
component/atrribution-gramatical/frcode.py:122 | FunctionDef | _is_capitalized_word
component/atrribution-gramatical/frcode.py:125 | FunctionDef | _is_hyphenated_word
component/atrribution-gramatical/frcode.py:128 | FunctionDef | _is_email
component/atrribution-gramatical/frcode.py:131 | FunctionDef | _is_url
component/atrribution-gramatical/frcode.py:135 | FunctionDef | _is_ipv4
component/atrribution-gramatical/frcode.py:138 | FunctionDef | _is_hash
component/atrribution-gramatical/frcode.py:141 | FunctionDef | _is_id
component/atrribution-gramatical/frcode.py:144 | FunctionDef | _split_trailing_punct_if_needed
component/atrribution-gramatical/frcode.py:174 | FunctionDef | tokenize_raw
component/atrribution-gramatical/frcode.py:184 | FunctionDef | split_elisions
component/atrribution-gramatical/frcode.py:208 | FunctionDef | tokenize_with_spans
